%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
135609000000,34,135608000000,active_module_b_1,0.0006541027741278072,-65.7511918652599,0.00037956632982982796,1.0329242458380965,-7.308475612610721e-05,-16.454921814282724
135708000000,35,135708000000,active_module_b_1,0.0006542457343883257,-65.75119199466496,0.0003804423707798321,1.0329237108406901,-7.334575542738975e-05,-16.454921870156376
135808000000,36,135808000000,active_module_b_1,0.0007190013975488796,-65.7512513397851,0.0007746195044120441,1.0326761724993947,-0.00019010173042843803,-16.454947400333758
135908000000,37,135908000000,active_module_b_1,0.0007170229885105073,-65.7512508787926,0.0007594483866739665,1.0326743608962916,-0.00018431150278530595,-16.454947007969146
136008000000,38,136008000000,active_module_b_1,0.000654242068126365,-65.75119199158976,0.0003804143727279552,1.0329237228519368,-7.333656640273745e-05,-16.454921868825913
136108000000,39,136108000000,active_module_b_1,0.000719034908097882,-65.75125137042743,0.0007748223402757048,1.0326760427809916,-0.00019016185141396136,-16.454947413517218
136208000000,40,136208000000,active_module_b_1,0.0007188598121281586,-65.75125128435128,0.0007746873330560788,1.0326763090009696,-0.00019013359086272885,-16.454947365682443
136308000000,41,136308000000,active_module_b_1,0.0006542226242487459,-65.75119197426766,0.0003802954885010479,1.0329237952067332,-7.330097857849438e-05,-16.454921861301994
136408000000,42,136408000000,active_module_b_1,0.0007190686474203289,-65.75125140104157,0.0007750280722724767,1.0326759118727793,-0.00019022277991531666,-16.454947426743715
136509000000,43,136508000000,active_module_b_1,0.0007189379754706238,-65.7512512870622,0.0007742871074682967,1.0326764167249811,-0.0001900034297843689,-16.454947376870315
136608000000,44,136608000000,active_module_b_1,0.0006541942346558471,-65.75119194887537,0.0003801232218130224,1.0329239014110412,-7.32497664897025e-05,-16.454921850274424
136708000000,45,136708000000,active_module_b_1,0.0007024474212826703,-65.7512389800182,0.0006407787387061603,1.032805162384434,-0.00014607126310561824,-16.454941712390806
136808000000,46,136808000000,active_module_b_1,0.0007189384539927346,-65.75125128313515,0.0007742351663466707,1.0326764253919243,-0.0001899871780493001,-16.45494737580587
136908000000,47,136908000000,active_module_b_1,0.0006541616357189639,-65.75119191897939,0.0003799249168103813,1.0329240239501591,-7.31909560167665e-05,-16.454921837424287
137008000000,48,137008000000,active_module_b_1,0.0006536794415978875,-65.75119178971278,0.00038200727790993483,1.0329241560795315,-7.394993499598712e-05,-16.454921737144865
137108000000,49,137108000000,active_module_b_1,0.0007189527703701515,-65.75125129563169,0.0007743222214529055,1.0326763650532134,-0.00019001334641721712,-16.45494738126817
137208000000,50,137208000000,active_module_b_1,0.000654127898616963,-65.7511918876251,0.0003797189137344503,1.032924151434718,-7.312993196073592e-05,-16.454921824016992
137308000000,51,137308000000,active_module_b_1,0.0006542434282295062,-65.75119198553527,0.00038036117395279234,1.032923763211036,-7.332217228039895e-05,-16.4549218672838
137408000000,52,137408000000,active_module_b_1,0.0007189783468248834,-65.75125131852701,0.000774478067047113,1.0326762634357332,-0.0001900597416124583,-16.454947391202616
137508000000,53,137508000000,active_module_b_1,0.0006540945551627431,-65.75119185746078,0.00037951664268831564,1.0329242766582705,-7.307004697931774e-05,-16.454921810980988
137607000000,54,137608000000,active_module_b_1,0.0006542475779802714,-65.75119199557504,0.0003804445593154071,1.032923706107578,-7.334595895258644e-05,-16.454921870677918
137707000000,55,137708000000,active_module_b_1,0.0007190097606901702,-65.75125134737651,0.0007746691533370154,1.0326761406210605,-0.0001901164600628391,-16.45494740359547
137808000000,56,137808000000,active_module_b_1,0.0007217322090120604,-65.75125228862342,0.0007723939278925229,1.0326758484891352,-0.00018925039028694357,-16.454948035023705
137909000000,57,137908000000,active_module_b_1,0.0006542383521015438,-65.75119198837963,0.0003803915762858878,1.0329237365117088,-7.332970406004335e-05,-16.454921867413184
138008000000,58,138008000000,active_module_b_1,0.0007190433129942164,-65.75125137781302,0.0007748739999264842,1.0326760098829708,-0.0001901771721657397,-16.454947416771308
138108000000,59,138108000000,active_module_b_1,0.0007190250448694258,-65.75125132995633,0.0007743176449963585,1.0326763251845565,-0.00019000285307058107,-16.454947400640055
138208000000,60,138208000000,active_module_b_1,0.0006542160592566404,-65.75119196840467,0.00038025618156822816,1.0329238193944321,-7.328929271110951e-05,-16.45492185875919
138308000000,61,138308000000,active_module_b_1,0.0007190769907516881,-65.75125140904673,0.000775078697991205,1.0326758797184579,-0.00019023777239368656,-16.454947430127753
138408000000,62,138408000000,active_module_b_1,0.0007189380568917159,-65.75125128451178,0.0007742518272273458,1.0326764268763058,-0.00018999222150206663,-16.454947376153136
138508000000,63,138508000000,active_module_b_1,0.0006541865292248872,-65.75119194122743,0.00038007525524008656,1.0329239310414775,-7.32355295944842e-05,-16.45492184708171
138608000000,64,138608000000,active_module_b_1,0.0006423630068681518,-65.75118947995168,0.0003607529257294573,1.0329221890590166,-6.491486635251675e-05,-16.4549195780233
138709000000,65,138708000000,active_module_b_1,0.0007189405452727726,-65.75125128475565,0.0007742482167216735,1.0326764156176425,-0.00018999114759488123,-16.454947376546066
138808000000,66,138808000000,active_module_b_1,0.0006541533999531168,-65.75119191106327,0.0003798735972324607,1.0329240556977806,-7.317574106391334e-05,-16.45492183408276
138908000000,67,138908000000,active_module_b_1,0.0006538638400677144,-65.75119184315044,0.00038080893954628436,1.032923957576772,-7.350319700982766e-05,-16.454921776281907
139008000000,68,139008000000,active_module_b_1,0.0007189581866313688,-65.75125130059882,0.0007743563413349364,1.0326763426002068,-0.00019002352627239816,-16.454947383415092
139108000000,69,139108000000,active_module_b_1,0.0006541196055707132,-65.75119187979351,0.0003796676530214427,1.0329241831594294,-7.31147446053626e-05,-16.454921820681495
139208000000,70,139208000000,active_module_b_1,0.0006960944726763785,-65.7511526532067,-0.08736295186630372,1.0242392782918515,0.021883451304762325,-16.45491409408646
139308000000,71,139308000000,active_module_b_1,0.0007968412835346328,-65.74994712812273,-0.4172863874068824,0.9912589249950168,0.10442833803647567,-16.454604975889588
139408000000,72,139408000000,active_module_b_1,0.0008261332695234103,-65.74546188503165,-0.8743583287181576,0.9458649899230229,0.21881289704507179,-16.45341003311016
139508000000,73,139508000000,active_module_b_1,0.000803236343553948,-65.7315725783599,-1.6073153063844767,0.8731156895050565,0.40225726607002876,-16.449699105158533
139608000000,74,139608000000,active_module_b_1,0.0008154378198277357,-65.70497207770198,-2.4657106146327905,0.787200512299723,0.617058165660338,-16.442608188947904
139708000000,75,139708000000,active_module_b_1,0.0008901502706777364,-65.66741813029603,-3.3197361956374767,0.7010309157646271,0.8307115402766967,-16.43260793851305
139808000000,76,139808000000,active_module_b_1,0.0008935630642206149,-65.6187211048628,-4.173001784858661,0.6148192515604549,1.044178496110168,-16.419627190630393
139908000000,77,139908000000,active_module_b_1,0.0008960950920169353,-65.5589375316009,-5.025562881812325,0.5282747368646179,1.257434858366667,-16.40369302942228
140008000000,78,140008000000,active_module_b_1,0.0008976296761904479,-65.48807744657734,-5.87727557884879,0.4414132958702499,1.4704376496987068,-16.384809342767767
140108000000,79,140108000000,active_module_b_1,0.0008980686042594499,-65.40615276983692,-6.727996035834639,0.3542510968536856,1.6831439528758465,-16.362980747711045
140209000000,80,140208000000,active_module_b_1,0.0008641716341770689,-65.31315185628706,-7.577681584654464,0.2669313779537612,1.895567399245817,-16.338200639089216
140308000000,81,140308000000,active_module_b_1,0.0008021688052135545,-65.20907619193129,-8.426168800777587,0.17933559652352749,2.1076255866202773,-16.310473007311053
140408000000,82,140408000000,active_module_b_1,0.000795121392334508,-65.0940452762215,-9.273039326439607,0.09136987449012057,2.319186540717505,-16.2798435623515
140508000000,83,140508000000,active_module_b_1,0.000886435576838096,-64.96811110570475,-10.118086747285279,0.0029298498867094125,2.530150768944971,-16.246334506681155
140608000000,84,140608000000,active_module_b_1,0.0007766297058076077,-64.83100961312942,-10.96194526564404,-0.08524607202788648,2.7408663059189875,-16.20983506398815
140708000000,85,140708000000,active_module_b_1,0.0007663118357665866,-64.68305104788746,-11.80368374349404,-0.17385910154101936,2.9508967603828324,-16.170473916770938
140809000000,86,140808000000,active_module_b_1,0.0008631098940181658,-64.52426325886017,-12.64321553689177,-0.26288655163118957,3.1602074253568695,-16.12826135270822
140908000000,87,140908000000,active_module_b_1,0.0008569758961609608,-64.35446212335151,-13.480856749916736,-0.35184068642133903,3.3690061330996572,-16.083124266494487
141008000000,88,141008000000,active_module_b_1,0.0007272852197903745,-64.17370968518937,-14.316387141027716,-0.440709971870445,3.5772655281092796,-16.035077054208063
141107000000,89,141108000000,active_module_b_1,0.0008270379898451807,-63.98230713620653,-15.149128114084698,-0.530157556518188,3.7845501097948318,-15.984252313220567
141208000000,90,141208000000,active_module_b_1,0.0008161347909769745,-63.77997880746057,-15.979511446338424,-0.6194857868855248,3.991193735174596,-15.930537603248037
141308000000,91,141308000000,active_module_b_1,0.0006801561233178433,-63.56679395408172,-16.807333399757052,-0.7086835619476801,4.197174700351235,-15.873949712267216
141408000000,92,141408000000,active_module_b_1,0.0006637563719635864,-63.34296114205518,-17.632156706921585,-0.7981689527613796,4.402184316847572,-15.814582227019653
141508000000,93,141508000000,active_module_b_1,0.0006295214518914349,-63.10842006912133,-18.45400385858511,-0.8877024390740043,4.606314913678525,-15.75240469630863
141608000000,94,141608000000,active_module_b_1,0.0007468113036512847,-62.86333446431776,-19.272606104246524,-0.9774699875180914,4.809404260419695,-15.687484430817587
141708000000,95,141708000000,active_module_b_1,0.0007288034346117911,-62.60751498742031,-20.08808898967475,-1.0670369477805353,5.011654628164637,-15.619744174912631
141808000000,96,141808000000,active_module_b_1,0.0007106229720186263,-62.34111723972442,-20.9001781440777,-1.156592660053632,5.212905709747498,-15.549244924906038
